paper_id,day,title,authors_short,keyword_hits,paper_page,pdf
3500,2026-06-07,"VQRAE: Representation Quantization Autoencoders for Multimodal Understanding, Generation and Reconstruction",,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Du_VQRAE_Representation_Quantization_Autoencoders_for_Multimodal_Understanding_Generation_and_Reconstruction_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Du_VQRAE_Representation_Quantization_Autoencoders_for_Multimodal_Understanding_Generation_and_Reconstruction_CVPR_2026_paper.pdf
3501,2026-06-07,Sparse-LaViDa: Sparse Multimodal Discrete Diffusion Language Models,"Shufan Li, Jiuxiang Gu, Kangning Liu et al.",diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Li_Sparse-LaViDa_Sparse_Multimodal_Discrete_Diffusion_Language_Models_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Sparse-LaViDa_Sparse_Multimodal_Discrete_Diffusion_Language_Models_CVPR_2026_paper.pdf
3505,2026-06-07,Mirai: Autoregressive Visual Generation Needs Foresight,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Yu_Mirai_Autoregressive_Visual_Generation_Needs_Foresight_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yu_Mirai_Autoregressive_Visual_Generation_Needs_Foresight_CVPR_2026_paper.pdf
3507,2026-06-07,Solving a Nonlinear Blind Inverse Problem for Tagged MRI with Physics and Deep Generative Priors,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Bian_Solving_a_Nonlinear_Blind_Inverse_Problem_for_Tagged_MRI_with_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Bian_Solving_a_Nonlinear_Blind_Inverse_Problem_for_Tagged_MRI_with_CVPR_2026_paper.pdf
3508,2026-06-07,Spatiotemporal Pyramid Flow Matching for Climate Emulation,"Jeremy A. Irvin, Jiaqi Han, Zikui Wang et al.",flow,https://openaccess.thecvf.com/content/CVPR2026/html/Irvin_Spatiotemporal_Pyramid_Flow_Matching_for_Climate_Emulation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Irvin_Spatiotemporal_Pyramid_Flow_Matching_for_Climate_Emulation_CVPR_2026_paper.pdf
3511,2026-06-07,Match-and-Fuse: Consistent Generation from Unstructured Image Sets,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Feingold_Match-and-Fuse_Consistent_Generation_from_Unstructured_Image_Sets_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Feingold_Match-and-Fuse_Consistent_Generation_from_Unstructured_Image_Sets_CVPR_2026_paper.pdf
3512,2026-06-07,Denoise and Align: Towards Source-Free UDA for Robust Panoramic Semantic Segmentation,,denoise,https://openaccess.thecvf.com/content/CVPR2026/html/Chang_Denoise_and_Align_Towards_Source-Free_UDA_for_Robust_Panoramic_Semantic_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Chang_Denoise_and_Align_Towards_Source-Free_UDA_for_Robust_Panoramic_Semantic_CVPR_2026_paper.pdf
3516,2026-06-07,MM-ACT: Learn from Multimodal Parallel Generation to Act,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Liang_MM-ACT_Learn_from_Multimodal_Parallel_Generation_to_Act_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Liang_MM-ACT_Learn_from_Multimodal_Parallel_Generation_to_Act_CVPR_2026_paper.pdf
3520,2026-06-07,Property-Informed Diffusion-Based Text-to-Microstructure Generation,"Bingxuan Dai, Hongsong Wang, Jie Gui",diffusion; generative,https://openaccess.thecvf.com/content/CVPR2026/html/Dai_Property-Informed_Diffusion-Based_Text-to-Microstructure_Generation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Dai_Property-Informed_Diffusion-Based_Text-to-Microstructure_Generation_CVPR_2026_paper.pdf
3521,2026-06-07,Improving Diffusion Generalization with Weak-to-Strong Segmented Guidance,"Liangyu Yuan, Yufei Huang, Mingkun Lei et al.",diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Yuan_Improving_Diffusion_Generalization_with_Weak-to-Strong_Segmented_Guidance_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yuan_Improving_Diffusion_Generalization_with_Weak-to-Strong_Segmented_Guidance_CVPR_2026_paper.pdf
3522,2026-06-07,IDperturb: Enhancing Variation in Synthetic Face Generation via Angular Perturbations,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Boutros_IDperturb_Enhancing_Variation_in_Synthetic_Face_Generation_via_Angular_Perturbations_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Boutros_IDperturb_Enhancing_Variation_in_Synthetic_Face_Generation_via_Angular_Perturbations_CVPR_2026_paper.pdf
